Sole discretion,"Whenever they want, and without asking you."
Sole discretions,"Whenever they want, and without asking you."
Queries,"something you type into a search bar"
Query,"something you type into a search bar"
query,"something you type into a search bar"
queries,terms you type into a search bar
Search query,"something you type into a search bar"
search queries,"something you type into a search bar"
Cookies,"These can collect quite a lot of personal information about you, including your detailed behaviors and interests."
cookie,"These can collect quite a lot of personal information about you, including your detailed behaviors and interests."
Log data,"pages you've viewed, what you clicked on, and sometimes your IP address."
log data,"pages you've viewed, what you clicked on, and sometimes your IP address."
Third party,"Someone other than you and the company. Oftentimes they are advertisers, people buying your data, someone the company is doing business with, and more."
third party,"Someone other than you and the company. Oftentimes they are advertisers, people buying your data, someone the company is doing business with, and more."
Third parties,"Someone other than you and the company. Oftentimes they are advertisers, people buying your data, someone the company is doing business with, and more."
Browsing history,"A history of the web pages you've visited. Never check your Dad's."
Browsing histories,"A history of the web pages you've visited. Never check your Dad's."
Sponsored links,"advertisements"
Sponsored link,"advertisements"
 URLs,"addresses for web pages (ie https://www.something.com)"
 URL,"address for a web page (ie https://www.something.com)"
Usage statistics,"Information about what ways people use the site"
IP address,"like the digital version of a home address for your computer or any device connected to the internet. Identifies you general location, network type, and potentially the type of device your using."
IP addresses,"like the digital version of a home address for your computer or any device connected to the internet. Identifies you general location, network type, and potentially the type of device your using."
IP,"(Internet Protocol),like the digital version of a home address for your computer or any device connected to the internet. Identifies you general location, network type, and potentially the type of device your using."
Internet Protocol Address,"like the digital version of a home address for your computer or any device connected to the internet. Identifies you general location, network type, and potentially the type of device your using."
Partners,"Companies that work with the company. Even though you may not know them, they may have the right to your information."
partner,"Companies that work with the company. Even though you may not know them, they may have the right to your information."
Demographic data,"Age, location, ethnicity, gender, can even be political beliefs, sexual orientation, level of education, or physical attributes."
demographic information,"Age, location, ethnicity, gender, can even be political beliefs, sexual orientation, level of education, or physical attributes."
network activity,"Anything you do on the internet."
Network activities,"Anything you do on the internet"
web beacons,"there to collect data on wether you open an email, or how you interact with the page"
Web beacon,"there to collect data on wether you open an email, or how you interact with the page"
flash cookies,"larger, harder to delete cookies"
Flash cookie,"larger, harder to delete cookies"
Pixel tags,"there to collect data on wether you open an email, or how you interact with the page"
